TEAM_ID,TEAM_LONG,TEAM_SHORT,CONFERENCE,DIVISION
1,Seahawks,SEA,NFC,NFC West
2,Giants,NYG,NFC,NFC East
3,Saints,NO,NFC,NFC South
4,Colts,IND,AFC,AFC South
5,Ravens,BAL,AFC,AFC North
6,Chargers,SD,AFC,AFC West
7,Patriots,NE,AFC,AFC East
8,Bills,BUF,AFC,AFC East
9,Jaguars,JAC,AFC,AFC South
10,Lions,DET,NFC,NFC North
11,Redskins,WAS,NFC,NFC East
12,49ers,SF,NFC,NFC West
13,Bears,CHI,NFC,NFC North
14,Raiders,OAK,AFC,AFC West
15,Bengals,CIN,AFC,AFC North
16,Steelers,PIT,AFC,AFC North
17,Jets,NYJ,AFC,AFC East
18,Buccaneers,TB,NFC,NFC South
19,Packers,GB,NFC,NFC North
20,Vikings,MIN,NFC,NFC North
21,Chiefs,KC,AFC,AFC West
22,Texans,HOU,AFC,AFC South
23,Cowboys,DAL,NFC,NFC East
24,Dolphins,MIA,AFC,AFC East
25,Rams,STL,NFC,NFC West
26,Titans,TEN,AFC,AFC South
27,Browns,CLE,AFC,AFC North
28,Falcons,ATL,NFC,NFC South
29,Cardinals,ARI,NFC,NFC West
30,Broncos,DEN,AFC,AFC West
31,Eagles,PHI,NFC,NFC East
32,Panthers,CAR,NFC,NFC South
